artist,title,release_format,number_of_tracks,price,rating,votes,have,want,limited_edition,media_condition,sleeve_condition,release_page,genre,year,label_name,label_code
Tom Misch,Beat Tape 2,LP,12,27.97,4.54,141.0,1899,1125,0,M,M,https://discogs.com/release/8348582-Tom-Misch-Beat-Tape-2?ev=item-vc,hip hop,2016,Beyond The Groove ‎,BTG004VL
Lous & The Yakuza,IOTA,LP,12,32.89,5.0,4.0,78,19,0,M,M,https://discogs.com/release/25670629-Lous-The-Yakuza-IOTA?ev=item-vc,hip hop,2022,Sony Music ‎,"0196587630010, Columbia ‎– 0196587630010"
Grandmaster Flash & The Furious Five,The Message,LP,13,40.86,4.63,8.0,190,68,0,M,M,https://discogs.com/release/25828582-Grandmaster-Flash-The-Furious-Five-The-Message?ev=item-vc,hip hop,2023,Sugar Hill Records ‎,BMGCAT782DLP
$hit & $hine*,New Confusion,LP,9,37.85,4.44,9.0,115,17,1,M,M,https://discogs.com/release/25160365-hit-hine-New-Confusion?ev=item-vc,hip hop,2022,Rocket Recordings ‎,LAUNCH272
Theo Parrish,DJ-Kicks Detroit Forward,LP,15,43.82,4.75,52.0,632,175,0,M,M,https://discogs.com/release/25003444-Theo-Parrish-DJ-Kicks-Detroit-Forward?ev=item-vc,hip hop,2022,!K7 Records ‎,K7414LP
Lefto Early Bird*,The Beauty Is Inside,LP,15,52.95,4.8,5.0,28,33,0,M,M,https://discogs.com/release/24583676-Lefto-Early-Bird-The-Beauty-Is-Inside?ev=item-vc,hip hop,2022,BBE ‎,BBE648CLP
The Go! Team,Get Up Sequences Part Two,LP,12,25.74,4.5,8.0,102,7,1,M,M,https://discogs.com/release/26014420-The-Go-Team-Get-Up-Sequences-Part-Two?ev=item-vc,hip hop,2023,Memphis Industries ‎,MI0762LPX
The Go! Team,Get Up Sequences Part Two,LP,12,24.92,4.8,5.0,46,4,0,M,M,https://discogs.com/release/26082331-The-Go-Team-Get-Up-Sequences-Part-Two?ev=item-vc,hip hop,2023,Memphis Industries ‎,MI0762LP
Shygirl,Nymph,LP,12,37.94,4.4,40.0,875,148,0,M,M,https://discogs.com/release/24401867-Shygirl-Nymph?ev=item-vc,hip hop,2022,Because Music ‎,BEC5610855
Jay Dee aka,B.B.E. - Big Booty Express,"12""",4,29.94,4.4,15.0,91,80,0,M,M,https://discogs.com/release/24583349-Jay-Dee-aka-J-Dilla-BBE-Big-Booty-Express?ev=item-vc,hip hop,2022,BBE ‎,BBEBG001EP
Kid Cudi,Man On The Moon II: The Legend Of Mr. Rager,LP,22,62.87,4.53,460.0,8712,5281,0,M,M,https://discogs.com/release/2605105-Kid-Cudi-Man-On-The-Moon-II-The-Legend-Of-Mr-Rager?ev=item-vc,hip hop,2010,Universal Motown ‎,B0015035-01
Kendrick Lamar,Mr. Morale & The Big Steppers,LP,18,58.92,4.56,217.0,5036,785,0,M,M,https://discogs.com/release/24295229-Kendrick-Lamar-Mr-Morale-The-Big-Steppers?ev=item-vc,hip hop,2022,pgLang ‎,"B0035986-01, Top Dawg Entertainment ‎– B0035986-01, Aftermath Entertainment ‎– B0035986-01, Interscope Records ‎– B0035986-01"
Frank Popp Ensemble* x,Scarecrow Kids / Leave Me Alone,"7""",2,15.89,3.0,1.0,9,5,0,M,M,https://discogs.com/release/23408234-Frank-Popp-Ensemble-x-F%C3%BCnf-Sterne-Deluxe-Maria-Ghoerls-Aydo-Abay-Scarecrow-Kids-Leave-Me-Alone?ev=item-vc,hip hop,2022,Unique ‎,UNIQNEU3001
Kaytranada,Bubba,LP,17,32.74,4.66,160.0,3240,1414,0,M,M,https://discogs.com/release/15461907-Kaytranada-Bubba?ev=item-vc,hip hop,2020,RCA ‎,19439-72448-1
Various,Trolls World Tour (Original Motion Picture Soundtrack),LP,20,32.81,3.86,7.0,160,28,0,M,M,https://discogs.com/release/15140256-Various-Trolls-World-Tour-Original-Motion-Picture-Soundtrack?ev=item-vc,hip hop,2020,RCA ‎,194397378511
Thundercat,It Is What It Is,LP,15,28.89,4.39,235.0,4859,792,0,M,M,https://discogs.com/release/15035550-Thundercat-It-Is-What-It-Is?ev=item-vc,hip hop,2020,Brainfeeder ‎,BF100
Beastie Boys,Paul's Boutique,LP,23,65.81,4.73,96.0,1267,621,0,M,M,https://discogs.com/release/14223719-Beastie-Boys-Pauls-Boutique?ev=item-vc,hip hop,2019,Capitol Records ‎,"7780913, Capitol Records ‎– B0030361-01"
Model Home (3),One Year,LP,11,31.87,4.67,12.0,92,60,0,M,M,https://discogs.com/release/15548675-Model-Home-One-Year?ev=item-vc,hip hop,2020,Disciples ‎,DISC4
Wilma Archer,A Western Circular,LP,10,30.88,4.17,12.0,134,68,1,M,M,https://discogs.com/release/15042268-Wilma-Archer-A-Western-Circular?ev=item-vc,hip hop,2020,Weird World (2) ‎,WEIRD112LPX
Wilma Archer,A Western Circular,LP,12,40.89,4.69,13.0,173,130,1,M,M,https://discogs.com/release/15030292-Wilma-Archer-A-Western-Circular?ev=item-vc,hip hop,2020,Weird World (2) ‎,"WEIRD112LP, Weird World (2) ‎– WEIRD112LPXT"
Bunny Hoova,Longing,LP,13,32.94,4.5,4.0,26,3,1,M,M,https://discogs.com/release/13924357-Bunny-Hoova-Longing?ev=item-vc,hip hop,2019,Them There Records ‎,TTR012
Velvet Negroni,Neon Brown,LP,11,29.86,4.36,14.0,205,25,0,M,M,https://discogs.com/release/14038376-Velvet-Negroni-Neon-Brown?ev=item-vc,hip hop,2019,4AD ‎,4AD0149LP
Mindless Self Indulgence,Frankenstein Girls Will Seem Strangely Sexy,LP,30,27.88,4.5,30.0,587,251,0,M,M,https://discogs.com/release/14313553-Mindless-Self-Indulgence-Frankenstein-Girls-Will-Seem-Strangely-Sexy?ev=item-vc,hip hop,2019,Music On Vinyl ‎,MOVLP2429
Driver & Driver,We Are The World,LP,16,18.98,3.4,5.0,30,16,0,M,M,https://discogs.com/release/4020122-Driver-Driver-We-Are-The-World?ev=item-vc,hip hop,2011,Staatsakt. ‎,AKT 710 LP
IAM,L'École Du Micro D'Argent,LP,15,56.77,4.72,814.0,8665,1250,0,M,M,https://discogs.com/release/7832122-IAM-L%C3%89cole-Du-Micro-DArgent?ev=item-vc,hip hop,2015,Warner Music France ‎,0825646080144
Georgia (25),Georgia,LP,12,30.77,4.25,12.0,170,28,0,M,M,https://discogs.com/release/7352897-Georgia-Georgia?ev=item-vc,hip hop,2015,Domino ‎,WIGLP357
Various,Natural Born Killers: A Soundtrack For An Oliver Stone Film,LP,27,39.76,4.66,76.0,1149,294,0,M,M,https://discogs.com/release/6496844-Various-Natural-Born-Killers-A-Soundtrack-For-An-Oliver-Stone-Film?ev=item-vc,hip hop,2014,Music On Vinyl ‎,"MOVATM012, Universal Music ‎– MOVATM012"
The Child Of Lov,Fly / Give Me,"10""",2,13.95,4.0,2.0,42,19,0,M,M,https://discogs.com/release/4535504-The-Child-Of-Lov-Fly-Give-Me-?ev=item-vc,hip hop,2013,Double Six (2) ‎,DS067T
The Blaze,Dancehall,LP,10,37.91,4.67,156.0,2069,762,0,M,M,https://discogs.com/release/12490788-The-Blaze-Dancehall?ev=item-vc,hip hop,2018,Animal63 ‎,none
Hermitude,Mirror Mountain,LP,8,23.94,4.0,6.0,56,12,1,M,M,https://discogs.com/release/23128202-Hermitude-Mirror-Mountain?ev=item-vc,hip hop,2022,Elefant Traks ‎,ACE265VE
The Insane Warrior,Tendrils,LP,10,29.91,4.0,4.0,42,17,0,M,M,https://discogs.com/release/11558800-The-Insane-Warrior-Tendrils?ev=item-vc,hip hop,2018,RJ's Electrical Connections ‎,RJEC0021-1
Hudson Mohawke,Hudson's Heeters Vol. 1,LP,14,29.8,4.58,24.0,365,78,0,M,M,https://discogs.com/release/18256942-Hudson-Mohawke-Hudsons-Heeters-Vol-1?ev=item-vc,hip hop,2021,Warp Records ‎,WARPLP322
De Likt,Ctrl-Alt-Delikt,LP,12,32.76,4.5,2.0,63,3,0,M,M,https://discogs.com/release/24623039-De-Likt-Ctrl-Alt-Delikt?ev=item-vc,hip hop,2022,On Track Agency ‎,OT008LP
Dua Lipa,Future Nostalgia (The Moonlight Edition),LP,19,41.87,4.7,470.0,10346,1746,0,M,M,https://discogs.com/release/17991814-Dua-Lipa-Future-Nostalgia-The-Moonlight-Edition?ev=item-vc,hip hop,2021,Warner Records ‎,0190295076139
Hermitude,Pollyanarchy,LP,11,23.9,4.0,4.0,34,17,0,M,M,https://discogs.com/release/15366718-Hermitude-Pollyanarchy?ev=item-vc,hip hop,2019,Elefant Traks ‎,ACE206V
Stromae,Racine Carrée,LP,13,50.89,4.75,12.0,266,92,1,M,M,https://discogs.com/release/23612114-Stromae-Racine-Carr%C3%A9e?ev=item-vc,hip hop,2022,Mosaert ‎,"456406-7, Polydor ‎– 456406-7, Universal Music France ‎– 456406-7"
Hudson Mohawke,Cry Sugar,LP,19,39.87,4.64,22.0,284,86,1,M,M,https://discogs.com/release/24165830-Hudson-Mohawke-Cry-Sugar?ev=item-vc,hip hop,2022,Warp Records ‎,WARPLP347I
Hud5on Moh4wk3*,DedSec (Watch Dogs 2 Original Soundtrack),"12""",16,29.98,4.41,54.0,568,176,1,M,M,https://discogs.com/release/10170940-Hud5on-Moh4wk3-DedSec-Watch-Dogs-2-Original-Soundtrack?ev=item-vc,hip hop,2017,Warp Records ‎,WARPLP281
Beck!*,Odelay,LP,13,43.75,4.53,449.0,6003,827,0,M,M,https://discogs.com/release/8966486-Beck-Odelay?ev=item-vc,hip hop,2016,DGC ‎,0602547933782
Linkin Park,Reanimation,LP,20,37.97,4.61,155.0,1830,510,0,M,M,https://discogs.com/release/8540569-Linkin-Park-Reanimation?ev=item-vc,hip hop,2016,Warner Bros. Records ‎,"9362-49208-3, Machine Shop Recordings ‎– 9362-49208-3"
Björk,Telegram,LP,10,32.81,4.33,45.0,594,402,0,M,M,https://discogs.com/release/8821195-Bj%C3%B6rk-Telegram?ev=item-vc,hip hop,2016,One Little Indian ‎,TPLP51TDMM
Various,Jackie Brown (Music From The Miramax Motion Picture),LP,17,31.97,4.58,251.0,2567,352,0,M,M,https://discogs.com/release/8553054-Various-Jackie-Brown-Music-From-The-Miramax-Motion-Picture?ev=item-vc,hip hop,2016,A Band Apart ‎,"08122794699, A Band Apart ‎– RCV1 46841, Warner Bros. Records ‎– 08122794699, Warner Bros. Records ‎– RCV1 46841, Maverick ‎– 08122794699, Maverick ‎– RCV1 46841"
Various,Dance Mixx Ninetyone,LP,14,5.99,4.0,1.0,18,15,0,VG+,VG,https://discogs.com/release/1570489-Various-Dance-Mixx-Ninetyone?ev=item-vc,hip hop,1991,PBI Records ‎,BI 138-1
"3 Mustaphas 3,",Trouble Fezz Meets 3 Mustaphas 3,"12""",3,3.0,3.6,5.0,74,10,0,NM ,NM ,https://discogs.com/release/10321735-3-Mustaphas-3-Trouble-Fezz-Trouble-Fezz-Meets-3-Mustaphas-3?ev=item-vc,hip hop,1988,Fez-O-Phone ‎,NST 126
III Most Wanted,III Most Wanted,LP,11,10.0,4.33,6.0,29,47,0,NM ,VG+,https://discogs.com/release/3055477-III-Most-Wanted-III-Most-Wanted?ev=item-vc,hip hop,1989,Hot ‎,260⋅07⋅138
Diron Animal,Alone,LP,9,23.99,3.67,3.0,55,36,0,M,NM ,https://discogs.com/release/10998986-Diron-Animal-Alone?ev=item-vc,hip hop,2017,Soundway ‎,SNDWLP123
Big Audio Dynamite,Tighten Up Vol. 88,LP,12,12.99,3.38,34.0,349,40,0,NM ,VG+,https://discogs.com/release/817174-Big-Audio-Dynamite-Tighten-Up-Vol-88?ev=item-vc,hip hop,1988,CBS ‎,461199 1
Angel-Ho,Death Becomes Her,LP,14,22.99,3.64,11.0,93,31,0,M,M,https://discogs.com/release/13289032-Angel-Ho-Death-Becomes-Her?ev=item-vc,hip hop,2019,Hyperdub ‎,HDBLP042
MK2,Prepare To Be Educated,LP,10,8.99,4.6,5.0,59,24,0,NM ,NM ,https://discogs.com/release/657269-MK2-Prepare-To-Be-Educated?ev=item-vc,hip hop,1999,Epic ‎,EPC 494226 1
Born Free MC,Olympic Rap Jam,"7""",2,3.0,4.67,3.0,50,19,0,VG+,VG+,https://discogs.com/release/1586669-Born-Free-MC-Olympic-Rap-Jam?ev=item-vc,hip hop,1988,K West ‎,"KWEST 1107, K West ‎– Kwest 1107"
Deluxe (17),Polishing Peanuts,"12""",6,24.99,4.36,73.0,784,242,0,M,M,https://discogs.com/release/3289006-Deluxe-Polishing-Peanuts?ev=item-vc,hip hop,2011,Chinese Man Records ‎,CMR015
Q-Tip,The Renaissance,LP,12,49.99,4.42,299.0,3136,1822,0,VG,VG+,https://discogs.com/release/1560130-Q-Tip-The-Renaissance?ev=item-vc,hip hop,2008,Universal Motown ‎,B0012213-01
Kognitif,Soul Food,LP,15,39.99,4.45,22.0,255,94,0,M,M,https://discogs.com/release/15106453-Kognitif-Soul-Food?ev=item-vc,hip hop,2020,Casamance Records ‎,YHT20181
Various,Funkymix 95,"12""",8,39.99,,,25,28,0,M,M,https://discogs.com/release/8202510-Various-Funkymix-95?ev=item-vc,hip hop,2006,Ultimix ‎,FM-95
Saul Williams,The Inevitable Rise And Liberation Of Niggy Tardust,LP,20,198.0,4.78,45.0,679,364,1,M,NM ,https://discogs.com/release/12829833-Saul-Williams-The-Inevitable-Rise-And-Liberation-Of-Niggy-Tardust?ev=item-vc,hip hop,2018,Fader Label ‎,FL-1820
Bloodhound Gang,Use Your Fingers,LP,21,198.0,3.81,32.0,340,632,0,M,M,https://discogs.com/release/402960-Bloodhound-Gang-Use-Your-Fingers?ev=item-vc,hip hop,1995,Columbia ‎,"C 67225, Cheese Factory (2) ‎– C 67225, Underdog Records (6) ‎– C 67225"
Pretty Lights,The Hidden Shades,"10""",8,159.0,4.66,86.0,880,409,1,M,M,https://discogs.com/release/5609975-Pretty-Lights-The-Hidden-Shades?ev=item-vc,hip hop,2014,8 Minutes 20 Seconds Records ‎,820REC05EP
Rocket Juice & The Moon,Rocket Juice & The Moon,LP,18,39.8,4.15,118.0,1184,518,0,M,M,https://discogs.com/release/3509316-Rocket-Juice-The-Moon-Rocket-Juice-The-Moon?ev=item-vc,hip hop,2012,Honest Jon's Records ‎,HJRLP63
Mark De Clive-Lowe,Tide's Arising,LP,13,17.9,4.12,26.0,301,93,0,M,M,https://discogs.com/release/556454-Mark-De-Clive-Lowe-Tides-Arising?ev=item-vc,hip hop,2005,ABB Soul ‎,ABBS8009-1
Peven Everett,Latest Craze (Part 1),LP,13,28.99,4.25,4.0,87,68,0,M,M,https://discogs.com/release/549139-Peven-Everett-Latest-Craze-Part-1?ev=item-vc,hip hop,2005,Traffic Entertainment Group ‎,TEG 2423
Def Con Dos,Armas Pal Pueblo,LP,14,23.8,4.68,19.0,256,59,0,M,M,https://discogs.com/release/5748857-Def-Con-Dos-Armas-Pal-Pueblo?ev=item-vc,hip hop,2014,Ttan Ttakun Irratia ‎,TT013
Beck!*,Odelay,LP,13,199.99,4.52,571.0,5123,3067,1,M,NM ,https://discogs.com/release/235913-Beck-Odelay?ev=item-vc,hip hop,1996,Bong Load Custom Records ‎,"BL30, Bong Load Custom Records ‎– BL 30"
Pretty Lights,The Hidden Shades,"10""",8,198.0,4.66,86.0,880,409,1,M,M,https://discogs.com/release/5609975-Pretty-Lights-The-Hidden-Shades?ev=item-vc,hip hop,2014,8 Minutes 20 Seconds Records ‎,820REC05EP
Bassnectar,Vava Voom,"12""",10,98.0,4.27,90.0,1053,256,0,M,M,https://discogs.com/release/3612264-Bassnectar-Vava-Voom?ev=item-vc,hip hop,2012,Amorphous Music ‎,AM0012
Troublemakers,Race Records / Everywhere Is My Home,"12""",2,5.0,4.0,1.0,39,21,0,VG+,VG+,https://discogs.com/release/2997203-Troublemakers-Race-Records-Everywhere-Is-My-Home?ev=item-vc,hip hop,2004,Blue Note ‎,"0724354905568, Capitol Records ‎– 0724354905568"
Driver & Driver,We Are The World,LP,16,10.0,3.4,5.0,30,16,0,M,M,https://discogs.com/release/4020122-Driver-Driver-We-Are-The-World?ev=item-vc,hip hop,2011,Staatsakt. ‎,AKT 710 LP
Beastie Boys,Paul's Boutique,LP,24,33.0,4.67,195.0,2477,595,0,M,M,https://discogs.com/release/12872158-Beastie-Boys-Pauls-Boutique?ev=item-vc,hip hop,2018,Capitol Records ‎,00602577057847
Bibio,Ambivalence Avenue,LP,12,32.0,4.7,10.0,182,121,0,M,M,https://discogs.com/release/16214677-Bibio-Ambivalence-Avenue?ev=item-vc,hip hop,2020,Warp Records ‎,WARPLP177
Rihanna,Rihanna,LP,110,700.0,4.84,81.0,930,931,1,M,M,https://discogs.com/release/9525438-Rihanna-Rihanna?ev=item-vc,hip hop,2016,Def Jam Recordings ‎,"00602557239010, Universal Music Group International ‎– 00602557239010, SRP Records ‎– 00602557239010, Roc Nation ‎– 00602557239010"
fLako,Carving Away The Clay,"10""",4,19.0,4.57,23.0,153,114,0,M,M,https://discogs.com/release/3218173-fLako-Carving-Away-The-Clay?ev=item-vc,hip hop,2011,Project: Mooncircle ‎,PMC090
99 Posse,Cerco Tiempo,LP,14,30.0,4.83,6.0,156,17,1,M,M,https://discogs.com/release/21831331-99-Posse-Cerco-Tiempo?ev=item-vc,hip hop,2022,Sony Music ‎,19439917521
The Avalanches,We Will Always Love You,LP,25,38.0,4.53,152.0,2191,408,0,M,M,https://discogs.com/release/16467366-The-Avalanches-We-Will-Always-Love-You?ev=item-vc,hip hop,2020,EMI ‎,"060250849963, Modular Recordings ‎– 060250849963, Astralwerks ‎– 060250849963"
Neneh Cherry,Raw Like Sushi,LP,25,68.0,4.68,50.0,617,152,0,M,M,https://discogs.com/release/14731404-Neneh-Cherry-Raw-Like-Sushi?ev=item-vc,hip hop,2020,Virgin ‎,"7767802, Virgin ‎– 006025 7767802 8"
Various,WXAXRXP30,"12""",51,200.0,4.76,104.0,957,296,1,M,M,https://discogs.com/release/14403806-Various-WXAXRXP30?ev=item-vc,hip hop,2019,Warp Records ‎,WARPLP300
IAM,L'École Du Micro D'Argent,LP,15,25.0,4.72,814.0,8665,1250,0,M,M,https://discogs.com/release/7832122-IAM-L%C3%89cole-Du-Micro-DArgent?ev=item-vc,hip hop,2015,Warner Music France ‎,0825646080144
Various,Wishing On A Star (Megamix 1 & 2),"12""",2,7.8,5.0,2.0,35,23,0,NM ,VG+,https://discogs.com/release/1333971-Various-Wishing-On-A-Star-Megamix-1-2?ev=item-vc,hip hop,1990,M & R Records ‎,"BP 12996RA, M & R Records ‎– BP 12996RB"
Various / Score Music By,The Original Motion Picture Soundtrack Teenage Mutant Ninja Turtles,LP,10,19.9,3.0,3.0,36,49,0,VG,VG+,https://discogs.com/release/3391744-Various-Score-Music-By-John-Du-Prez-The-Original-Motion-Picture-Soundtrack-Teenage-Mutant-Ninja-Turt?ev=item-vc,hip hop,1990,SBK Records ‎,"64 7910661, EMI ITALIANA S.p.A. ‎– 64 7910661"
Bran Van 3000,Drinking In L.A.,"12""",4,96.0,4.59,29.0,174,262,0,NM ,NM ,https://discogs.com/release/1703931-Bran-Van-3000-Drinking-In-LA?ev=item-vc,hip hop,1998,Chimes ‎,"8 85381 6, Chimes ‎– 7243 8 85381 6 9, Capitol Records ‎– 8 85381 6, Capitol Records ‎– 7243 8 85381 6 9"
Mellow Man Ace,Mentirosa,"12""",6,8.9,3.67,3.0,54,49,0,VG+,VG,https://discogs.com/release/1363143-Mellow-Man-Ace-Mentirosa?ev=item-vc,hip hop,1990,Capitol Records ‎,14 2039766
Malcolm McLaren,Swamp Thing,LP,8,19.8,3.67,3.0,36,43,0,NM ,NM ,https://discogs.com/release/7558332-Malcolm-McLaren-Swamp-Thing?ev=item-vc,hip hop,1985,Charisma ‎,CAS 1170
Sir J,Un Cuore Che Canta,"12""",4,7.9,,,15,5,0,NM ,VG+,https://discogs.com/release/2296725-Sir-J-Un-Cuore-Che-Canta?ev=item-vc,hip hop,1998,Brioche Edizioni Musicali Snc ‎,BEM 01
The D.J. Big✲G*,Wild Movin',"12""",2,19.5,5.0,1.0,8,21,0,VG+,VG+,https://discogs.com/release/15847144-The-DJ-BigG-Wild-Movin?ev=item-vc,hip hop,1989,Big Records (24) ‎,B.G. 7777
Straight Coffee For George,Swimming In A Fish Tank,"12""",4,59.0,3.88,8.0,59,94,0,VG+,VG+,https://discogs.com/release/871498-Straight-Coffee-For-George-Swimming-In-A-Fish-Tank?ev=item-vc,hip hop,1992,Majammy Records ‎,E-SA 22013
B.B.M.,M.U.S.I.C.,"12""",4,4.8,3.33,3.0,20,2,0,VG,VG,https://discogs.com/release/1327851-BBM-MUSIC?ev=item-vc,hip hop,1997,Zac Records ‎,"ZAC 141, B.I.G. Music ‎– ZAC 141"
CCCP - Fedeli Alla Linea /,Huligani Dangereux / Vota Fatur / Manchild,"12""",3,9.8,3.33,3.0,40,29,0,VG+,,https://discogs.com/release/1467012-CCCP-Fedeli-Alla-Linea-Neneh-Cherry-Huligani-Dangereux-Vota-Fatur-Manchild?ev=item-vc,hip hop,1989,Virgin ‎,VI PRO 33
The Artist (Formerly Known As Prince),The Greatest Romance Ever Sold,"12""",8,16.8,3.83,36.0,383,82,0,VG+,,https://discogs.com/release/332909-The-Artist-Formerly-Known-As-Prince-The-Greatest-Romance-Ever-Sold?ev=item-vc,hip hop,1999,Arista ‎,"ARDP-3750, NPG Records ‎– ARDP-3750"
Rob 'N' Raz Featuring,Rok The Nation,"12""",4,14.9,4.32,25.0,310,20,0,M,VG+,https://discogs.com/release/1900041-Rob-N-Raz-Featuring-Leila-K-Rok-The-Nation?ev=item-vc,hip hop,1990,Arista ‎,612 971
Nuf-El-Tee Featuring,Back Together Again,"12""",2,7.9,4.43,7.0,52,23,0,VG+,VG+,https://discogs.com/release/1347378-Nuf-El-Tee-Featuring-Noel-McCalla-Shirley-Gordon-Back-Together-Again?ev=item-vc,hip hop,Unknown,Retro ‎,RET 128
Max An' Precious,My One... Temptation!,"12""",3,7.8,4.33,6.0,26,14,0,VG+,VG,https://discogs.com/release/3905700-Max-An-Precious-My-One-Temptation?ev=item-vc,hip hop,1989,Mix Up ‎,Mix Up 001
Herbie Goins,Scrap Rap,"12""",2,5.9,3.82,17.0,117,90,0,VG+,VG+,https://discogs.com/release/476665-Herbie-Goins-Scrap-Rap?ev=item-vc,hip hop,1983,CAT Record ‎,CAT 2008
M.C. Zip,Spiderap,"12""",4,5.9,4.0,2.0,34,20,0,VG+,VG+,https://discogs.com/release/2421988-MC-Zip-Spiderap?ev=item-vc,hip hop,1993,Irma ‎,"X003, Irma ‎– X 003"
Lou Reed,The Original Wrapper / Video Violence,"12""",4,12.8,3.86,21.0,237,48,0,VG+,VG+,https://discogs.com/release/400187-Lou-Reed-The-Original-Wrapper-Video-Violence?ev=item-vc,hip hop,1986,RCA Victor ‎,PW 14427
Spyder-D Featuring,I Can't Wait (To Rock The Mike),"12""",2,5.9,3.93,41.0,350,70,0,VG,G,https://discogs.com/release/665020-Spyder-D-Featuring-D-J-Doc-I-Cant-Wait-To-Rock-The-Mike?ev=item-vc,hip hop,1986,ZYX Records ‎,"5485, ZYX Records ‎– ZYX 5485"
Boris Dlugosch,Bionic Breaks,"12""",9,24.9,4.74,27.0,141,54,0,VG+,VG+,https://discogs.com/release/318815-Boris-Dlugosch-Bionic-Breaks?ev=item-vc,hip hop,2004,Kontor Records ‎,Kontor356
Various,La Mia Banda Suona Il Rap,LP,14,8.0,4.83,6.0,52,8,0,VG,VG+,https://discogs.com/release/3164011-Various-La-Mia-Banda-Suona-Il-Rap?ev=item-vc,hip hop,1991,EMI ‎,66 7969051
Iso-Tuff,Gimme A Break,"12""",2,10.9,5.0,2.0,7,17,0,VG+,VG,https://discogs.com/release/5766271-Iso-Tuff-Gimme-A-Break?ev=item-vc,hip hop,1988,Ruby Red Records ‎,LTD 666
Beautiful People (2),I Got The Rhythm,"12""",3,19.8,4.77,118.0,484,1043,0,VG+,,https://discogs.com/release/84348-Beautiful-People-I-Got-The-Rhythm?ev=item-vc,hip hop,1991,Cabaret ‎,C 2000
Blackwood,I Can't Forget U Boy / The Key To Knowledge,"12""",5,10.9,4.2,5.0,27,57,0,NM ,NM ,https://discogs.com/release/1509066-Blackwood-I-Cant-Forget-U-Boy-The-Key-To-Knowledge?ev=item-vc,hip hop,1993,Blue Village ‎,BV3033
Miker G*,Flexible Movements,"12""",3,6.9,3.0,4.0,15,12,0,NM ,,https://discogs.com/release/1167000-Miker-G-Flexible-Movements?ev=item-vc,hip hop,1991,Mighty Quinn Records ‎,MQR 0039
Various,Music Factory Mastermix - Issue No. 19,"12""",31,17.9,4.75,4.0,58,46,0,VG+,NM ,https://discogs.com/release/3579493-Various-Music-Factory-Mastermix-Issue-No-19?ev=item-vc,hip hop,1988,Music Factory ‎,MFMM 19
Jovanotti,Scappa Con Me,"7""",2,7.8,4.0,3.0,37,6,0,NM ,VG+,https://discogs.com/release/3500205-Jovanotti-Scappa-Con-Me?ev=item-vc,hip hop,1989,Ibiza Records (2) ‎,IBZ 654978 7
Jennifer Lopez Featuring,Feelin' So Good,"12""",4,8.9,4.3,23.0,308,73,0,VG+,VG+,https://discogs.com/release/1016475-Jennifer-Lopez-Featuring-Big-Pun-Fat-Joe-Feelin-So-Good?ev=item-vc,hip hop,2000,Columbia ‎,COL 668888 6
Jovanotti,Scappa Con Me,"12""",2,8.9,4.67,3.0,55,19,0,VG+,VG+,https://discogs.com/release/2249982-Jovanotti-Scappa-Con-Me?ev=item-vc,hip hop,1989,Ibiza Records (2) ‎,"IBZ 654978 6, Yo Productions ‎– IBZ 654978 6"
B.B.M.,M.U.S.I.C.,"12""",4,6.8,3.33,3.0,20,2,0,VG+,VG,https://discogs.com/release/1327851-BBM-MUSIC?ev=item-vc,hip hop,1997,Zac Records ‎,"ZAC 141, B.I.G. Music ‎– ZAC 141"
The Real Milli Vanilli,Too Late (True Love),"12""",4,4.9,4.33,9.0,68,8,0,VG+,VG+,https://discogs.com/release/2309323-The-Real-Milli-Vanilli-Too-Late-True-Love?ev=item-vc,hip hop,1991,Chrysalis ‎,"14 3236866, EMI ‎– 14 3236866"
Neneh Cherry,Manchild,"12""",3,4.9,4.17,76.0,1040,75,0,VG+,VG+,https://discogs.com/release/231737-Neneh-Cherry-Manchild?ev=item-vc,hip hop,1989,Circa ‎,"YRT 30, Virgin ‎– YRT 30"
Boogie-Down-Productions*,Man & His Music,LP,15,24.9,4.25,107.0,1039,423,1,NM ,NM ,https://discogs.com/release/226366-Boogie-Down-Productions-Man-His-Music?ev=item-vc,hip hop,1988,B-Boy Records ‎,BB 1-2000
Sagat,Fuk Dat,"12""",6,9.9,4.32,28.0,201,266,0,VG+,,https://discogs.com/release/348421-Sagat-Fuk-Dat?ev=item-vc,hip hop,1993,London Records ‎,857 345-1
Dj P. Project,Down On Me,"12""",2,4.9,4.5,2.0,11,9,0,VG+,,https://discogs.com/release/1506450-Dj-P-Project-Down-On-Me?ev=item-vc,hip hop,1990,World Deejay Foundation ‎,WDJF 0002-2
Land And Sea*,Billie Jean Rap,"12""",2,8.9,3.89,18.0,84,40,0,VG+,VG+,https://discogs.com/release/156888-Land-And-Sea-Billie-Jean-Rap?ev=item-vc,hip hop,1987,ZYX Records ‎,ZYX 5766
Various,Beat Street (Original Motion Picture Soundtrack) - Volume 2,LP,8,14.8,3.83,6.0,67,61,0,VG+,VG,https://discogs.com/release/5299725-Various-Beat-Street-Original-Motion-Picture-Soundtrack-Volume-2?ev=item-vc,hip hop,1984,Atlantic ‎,78 0158-1
